(144/144)
494,423,0.0
494,419,0.0
494,417,0.0
496,414,0.0
497,403,0.0
497,398,0.0
499,395,0.0
499,392,0.0
500,386,0.0
500,384,0.0
502,381,0.0
502,378,0.0
502,372,0.0
502,370,0.0
503,367,0.0
503,366,0.0
503,361,0.0
503,360,0.0
505,358,0.0
505,356,0.0
505,353,0.0
505,352,0.0
505,349,0.0
505,346,0.0
505,343,0.0
505,338,0.0
505,336,0.0
505,335,0.0
505,330,0.0
505,327,0.0
505,325,0.0
505,319,0.0
505,318,0.0
503,311,0.0
503,308,0.0
503,307,0.0
503,301,0.0
503,299,0.0
502,296,0.0
502,291,0.0
502,290,0.0
502,287,0.0
502,284,0.0
502,282,0.0
502,276,0.0
502,274,0.0
502,270,0.0
502,268,0.0
502,266,0.0
502,263,0.0
502,259,0.0
502,256,0.0
503,254,0.0
505,248,0.0
505,246,0.0
506,245,0.0
506,243,0.0
510,239,0.0
511,237,0.0
516,231,0.0
517,229,0.0
520,226,0.0
525,225,0.0
528,223,0.0
531,221,0.0
534,220,0.0
544,218,0.0
548,218,0.0
559,217,0.0
562,217,0.0
570,217,0.0
573,217,0.0
576,217,0.0
579,217,0.0
585,218,0.0
587,218,0.0
589,218,0.0
589,220,0.0
590,220,0.0
592,220,0.0
592,221,0.0
593,221,0.0
598,223,0.0
599,225,0.0
601,226,0.0
606,229,0.0
607,231,0.0
609,232,0.0
612,234,0.0
615,237,0.0
616,239,0.0
616,240,0.0
618,240,0.0
621,243,0.0
623,245,0.0
624,248,0.0
627,249,0.0
629,252,0.0
630,254,0.0
632,256,0.0
634,257,0.0
635,259,0.0
637,260,0.0
637,262,0.0
641,268,0.0
643,270,0.0
643,271,0.0
644,274,0.0
646,276,0.0
646,277,0.0
649,285,0.0
651,288,0.0
651,290,0.0
652,296,0.0
654,298,0.0
654,299,0.0
655,305,0.0
655,308,0.0
655,318,0.0
657,319,0.0
657,322,0.0
657,329,0.0
658,332,0.0
658,333,0.0
660,339,0.0
660,341,0.0
660,343,0.0
660,346,0.0
661,349,0.0
661,350,0.0
661,353,0.0
665,360,0.0
665,361,0.0
665,363,0.0
666,364,0.0
668,367,0.0
668,369,0.0
669,370,0.0
672,375,0.0
672,377,0.0
674,378,0.0
674,380,0.0
674,381,0.0
675,381,0.0
